period_begin,period_end,region,property_type,median_sale_price,median_list_price,homes_sold,new_listings,months_of_supply
3/1/2016,3/31/2016,"Johnson County, KS",Townhouse,152700.0,275000.0,70.0,87.0,2.3
3/1/2021,3/31/2021,"Johnson County, KS",Townhouse,239500.0,369000.0,42.0,71.0,0.8
6/1/2015,6/30/2015,"Johnson County, KS",Condo/Co-op,90000.0,245000.0,15.0,18.0,3.9
12/1/2021,12/31/2021,"Johnson County, KS",Condo/Co-op,155000.0,370000.0,19.0,8.0,0.5
4/1/2018,4/30/2018,"Johnson County, KS",Townhouse,168500.0,303250.0,79.0,84.0,1.7
8/1/2021,8/31/2021,"Johnson County, KS",All Residential,361000.0,350000.0,1235.0,1079.0,1.1
5/1/2013,5/31/2013,"Johnson County, KS",Townhouse,116850.0,214950.0,70.0,99.0,4.1
9/1/2021,9/30/2021,"Johnson County, KS",Multi-Family (2-4 Unit),252500.0,360000.0,2.0,8.0,3.0
8/1/2013,8/31/2013,"Johnson County, KS",Multi-Family (2-4 Unit),136000.0,219950.0,9.0,8.0,2.6
12/1/2016,12/31/2016,"Johnson County, KS",Multi-Family (2-4 Unit),201000.0,261500.0,5.0,3.0,2.4
2/1/2013,2/28/2013,"Johnson County, KS",Condo/Co-op,94000.0,214475.0,6.0,11.0,10.0
12/1/2014,12/31/2014,"Johnson County, KS",Townhouse,156000.0,220000.0,50.0,36.0,3.7
10/1/2012,10/31/2012,"Johnson County, KS",Condo/Co-op,81000.0,219975.0,17.0,18.0,4.1
12/1/2017,12/31/2017,"Johnson County, KS",Multi-Family (2-4 Unit),180000.0,274900.0,19.0,7.0,0.3
5/1/2015,5/31/2015,"Johnson County, KS",Single Family Residential,245000.0,240000.0,1135.0,1283.0,3.1
3/1/2012,3/31/2012,"Johnson County, KS",Single Family Residential,205225.0,209950.0,604.0,1183.0,6.2
2/1/2018,2/28/2018,"Johnson County, KS",Multi-Family (2-4 Unit),210000.0,299550.0,9.0,9.0,1.6
8/1/2022,8/31/2022,"Johnson County, KS",Condo/Co-op,174750.0,379900.0,16.0,17.0,0.5
1/1/2023,1/31/2023,"Johnson County, KS",Condo/Co-op,155000.0,425000.0,11.0,9.0,1.7
6/1/2018,6/30/2018,"Johnson County, KS",Single Family Residential,301000.0,289500.0,1250.0,1269.0,1.9
4/1/2020,4/30/2020,"Johnson County, KS",Single Family Residential,336750.0,312000.0,802.0,845.0,2.0
5/1/2015,5/31/2015,"Johnson County, KS",Multi-Family (2-4 Unit),184000.0,240000.0,9.0,12.0,2.2
1/1/2020,1/31/2020,"Johnson County, KS",Multi-Family (2-4 Unit),280000.0,329900.0,3.0,7.0,1.3
10/1/2013,10/31/2013,"Johnson County, KS",Single Family Residential,232500.0,220000.0,767.0,796.0,4.1
2/1/2021,2/28/2021,"Johnson County, KS",Townhouse,210475.0,379950.0,46.0,39.0,0.7
5/1/2015,5/31/2015,"Johnson County, KS",All Residential,230000.0,240000.0,1271.0,1412.0,3.0
3/1/2015,3/31/2015,"Johnson County, KS",All Residential,220000.0,240000.0,887.0,1253.0,3.9
11/1/2016,11/30/2016,"Johnson County, KS",Single Family Residential,271000.0,250000.0,729.0,592.0,2.8
4/1/2022,4/30/2022,"Johnson County, KS",Condo/Co-op,170000.0,400000.0,19.0,18.0,0.7
5/1/2022,5/31/2022,"Johnson County, KS",Condo/Co-op,171500.0,399950.0,12.0,18.0,1.0
10/1/2016,10/31/2016,"Johnson County, KS",Multi-Family (2-4 Unit),237500.0,255000.0,6.0,8.0,3.2
7/1/2020,7/31/2020,"Johnson County, KS",All Residential,337500.0,325000.0,1355.0,1324.0,1.2
3/1/2013,3/31/2013,"Johnson County, KS",Multi-Family (2-4 Unit),145000.0,215000.0,5.0,4.0,6.4
